Hugo_Symbol	classifier_pathogenic_final	penetrance	Adrenocortical Carcinoma_gene_count	Adrenocortical Carcinoma_tumortype_count	Ampullary Carcinoma_gene_count	Ampullary Carcinoma_tumortype_count	Anal Cancer_gene_count	Anal Cancer_tumortype_count	Appendiceal Adenocarcinoma_gene_count	Appendiceal Adenocarcinoma_tumortype_count	Bladder Cancer_gene_count	Bladder Cancer_tumortype_count	Bone Cancer_gene_count	Bone Cancer_tumortype_count	Cancer of Unknown Primary_gene_count	Cancer of Unknown Primary_tumortype_count	Cervical Cancer_gene_count	Cervical Cancer_tumortype_count	Cholangiocarcinoma_gene_count	Cholangiocarcinoma_tumortype_count	Colorectal Adenocarcinoma_gene_count	Colorectal Adenocarcinoma_tumortype_count	Cutaneous Melanoma_gene_count	Cutaneous Melanoma_tumortype_count	Diffuse Glioma_gene_count	Diffuse Glioma_tumortype_count	Embryonal Tumor_gene_count	Embryonal Tumor_tumortype_count	Endometrial Carcinoma_gene_count	Endometrial Carcinoma_tumortype_count	Esophagogastric Cancer_gene_count	Esophagogastric Cancer_tumortype_count	Gastrointestinal Neuroendocrine Tumors_gene_count	Gastrointestinal Neuroendocrine Tumors_tumortype_count	Gastrointestinal Stromal Tumor_gene_count	Gastrointestinal Stromal Tumor_tumortype_count	Germ Cell Tumor_gene_count	Germ Cell Tumor_tumortype_count	Head and Neck Cancer_gene_count	Head and Neck Cancer_tumortype_count	Invasive Breast Carcinoma_gene_count	Invasive Breast Carcinoma_tumortype_count	Lung Neuroendocrine Tumor_gene_count	Lung Neuroendocrine Tumor_tumortype_count	Mesothelioma_gene_count	Mesothelioma_tumortype_count	Nerve Sheath Tumor_gene_count	Nerve Sheath Tumor_tumortype_count	Non Glioma CNS Cancers_gene_count	Non Glioma CNS Cancers_tumortype_count	Non-Cholangio Hepatobiliary Cancer_gene_count	Non-Cholangio Hepatobiliary Cancer_tumortype_count	Non-Small Cell Lung Cancer_gene_count	Non-Small Cell Lung Cancer_tumortype_count	Non-cutaneous Melanoma_gene_count	Non-cutaneous Melanoma_tumortype_count	Other_gene_count	Other_tumortype_count	Ovarian Cancer_gene_count	Ovarian Cancer_tumortype_count	Pancreatic Adenocarcinoma_gene_count	Pancreatic Adenocarcinoma_tumortype_count	Pancreatic Neuroendocrine Tumor_gene_count	Pancreatic Neuroendocrine Tumor_tumortype_count	Prostate Cancer_gene_count	Prostate Cancer_tumortype_count	Renal Clear Cell Carcinoma_gene_count	Renal Clear Cell Carcinoma_tumortype_count	Renal Non-Clear Cell Carcinoma_gene_count	Renal Non-Clear Cell Carcinoma_tumortype_count	Retinoblastoma_gene_count	Retinoblastoma_tumortype_count	Salivary Carcinoma_gene_count	Salivary Carcinoma_tumortype_count	Sex Cord Stromal Tumor_gene_count	Sex Cord Stromal Tumor_tumortype_count	Skin Cancer, Non-Melanoma_gene_count	Skin Cancer, Non-Melanoma_tumortype_count	Small Bowel Cancer_gene_count	Small Bowel Cancer_tumortype_count	Small Cell Lung Cancer_gene_count	Small Cell Lung Cancer_tumortype_count	Soft Tissue Sarcoma_gene_count	Soft Tissue Sarcoma_tumortype_count	Thymic Tumor_gene_count	Thymic Tumor_tumortype_count	Thyroid Cancer_gene_count	Thyroid Cancer_tumortype_count	Unknown_gene_count	Unknown_tumortype_count	Uterine Sarcoma_gene_count	Uterine Sarcoma_tumortype_count	gene_panel
ABL1	0	NA	4.0	36.0	11.0	41.0	1.0	45.0	11.0	92.0	53.0	498.0	27.0	174.0	47.0	349.0	12.0	74.0	27.0	251.0	168.0	1384.0	39.0	298.0	95.0	790.0	14.0	101.0	69.0	507.0	65.0	355.0	11.0	77.0	35.0	193.0	31.0	317.0	39.0	258.0	330.0	2206.0	8.0	86.0	17.0	141.0	2.0	25.0	15.0	64.0	24.0	208.0	288.0	2187.0	28.0	175.0	62.0	382.0	29.0	333.0	85.0	649.0	19.0	99.0	132.0	879.0	31.0	262.0	34.0	174.0	0.0	11.0	19.0	125.0	5.0	24.0	19.0	179.0	6.0	52.0	7.0	118.0	79.0	550.0	3.0	30.0	31.0	269.0	3.0	20.0	18.0	107.0	all
AC129492.6	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	4.0	1384.0	0.0	298.0	4.0	790.0	0.0	101.0	0.0	507.0	1.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	6.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	1.0	649.0	0.0	99.0	2.0	879.0	0.0	262.0	1.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
AC137932.1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	0.0	298.0	2.0	790.0	0.0	101.0	0.0	507.0	1.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	0.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	0.0	2187.0	0.0	175.0	1.0	382.0	0.0	333.0	0.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
AKT1	0	NA	3.0	36.0	6.0	41.0	7.0	45.0	12.0	92.0	35.0	498.0	20.0	174.0	33.0	349.0	7.0	74.0	30.0	251.0	159.0	1384.0	26.0	298.0	79.0	790.0	10.0	101.0	61.0	507.0	45.0	355.0	8.0	77.0	22.0	193.0	29.0	317.0	29.0	258.0	268.0	2206.0	11.0	86.0	10.0	141.0	2.0	25.0	6.0	64.0	16.0	208.0	208.0	2187.0	20.0	175.0	42.0	382.0	19.0	333.0	56.0	649.0	9.0	99.0	94.0	879.0	23.0	262.0	31.0	174.0	1.0	11.0	17.0	125.0	3.0	24.0	14.0	179.0	4.0	52.0	10.0	118.0	55.0	550.0	1.0	30.0	32.0	269.0	2.0	20.0	15.0	107.0	all
AKT2	0	NA	2.0	36.0	9.0	41.0	8.0	45.0	13.0	92.0	42.0	498.0	17.0	174.0	33.0	349.0	7.0	74.0	20.0	251.0	121.0	1384.0	18.0	298.0	73.0	790.0	10.0	101.0	56.0	507.0	31.0	355.0	8.0	77.0	20.0	193.0	26.0	317.0	23.0	258.0	197.0	2206.0	10.0	86.0	13.0	141.0	1.0	25.0	6.0	64.0	21.0	208.0	205.0	2187.0	8.0	175.0	33.0	382.0	19.0	333.0	69.0	649.0	9.0	99.0	78.0	879.0	28.0	262.0	21.0	174.0	1.0	11.0	19.0	125.0	2.0	24.0	17.0	179.0	5.0	52.0	11.0	118.0	48.0	550.0	6.0	30.0	25.0	269.0	1.0	20.0	14.0	107.0	all
AKT3	0	NA	0.0	36.0	0.0	41.0	2.0	45.0	0.0	92.0	10.0	498.0	4.0	174.0	3.0	349.0	2.0	74.0	6.0	251.0	30.0	1384.0	5.0	298.0	15.0	790.0	0.0	101.0	10.0	507.0	7.0	355.0	1.0	77.0	5.0	193.0	5.0	317.0	8.0	258.0	42.0	2206.0	0.0	86.0	3.0	141.0	0.0	25.0	1.0	64.0	8.0	208.0	41.0	2187.0	5.0	175.0	6.0	382.0	7.0	333.0	12.0	649.0	3.0	99.0	22.0	879.0	5.0	262.0	4.0	174.0	1.0	11.0	1.0	125.0	2.0	24.0	1.0	179.0	0.0	52.0	1.0	118.0	14.0	550.0	1.0	30.0	3.0	269.0	0.0	20.0	0.0	107.0	all
ALK	0	NA	12.0	36.0	8.0	41.0	10.0	45.0	16.0	92.0	89.0	498.0	40.0	174.0	57.0	349.0	11.0	74.0	51.0	251.0	302.0	1384.0	58.0	298.0	148.0	790.0	23.0	101.0	99.0	507.0	85.0	355.0	14.0	77.0	57.0	193.0	46.0	317.0	48.0	258.0	506.0	2206.0	11.0	86.0	19.0	141.0	3.0	25.0	14.0	64.0	52.0	208.0	416.0	2187.0	36.0	175.0	76.0	382.0	69.0	333.0	109.0	649.0	19.0	99.0	186.0	879.0	61.0	262.0	54.0	174.0	2.0	11.0	31.0	125.0	6.0	24.0	41.0	179.0	11.0	52.0	23.0	118.0	104.0	550.0	5.0	30.0	68.0	269.0	4.0	20.0	28.0	107.0	all
ALOX12B	0	NA	1.0	36.0	6.0	41.0	7.0	45.0	12.0	92.0	73.0	498.0	27.0	174.0	44.0	349.0	9.0	74.0	31.0	251.0	197.0	1384.0	28.0	298.0	113.0	790.0	10.0	101.0	73.0	507.0	53.0	355.0	11.0	77.0	26.0	193.0	43.0	317.0	38.0	258.0	360.0	2206.0	12.0	86.0	17.0	141.0	3.0	25.0	10.0	64.0	23.0	208.0	342.0	2187.0	23.0	175.0	52.0	382.0	41.0	333.0	93.0	649.0	12.0	99.0	139.0	879.0	36.0	262.0	32.0	174.0	0.0	11.0	22.0	125.0	5.0	24.0	20.0	179.0	6.0	52.0	19.0	118.0	88.0	550.0	6.0	30.0	32.0	269.0	2.0	20.0	18.0	107.0	all
ALOX12B	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	1.0	298.0	2.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	1.0	2187.0	1.0	175.0	0.0	382.0	0.0	333.0	0.0	649.0	0.0	99.0	1.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	1.0	118.0	0.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
AMER1	0	NA	3.0	36.0	1.0	41.0	2.0	45.0	8.0	92.0	37.0	498.0	10.0	174.0	28.0	349.0	10.0	74.0	25.0	251.0	115.0	1384.0	18.0	298.0	56.0	790.0	10.0	101.0	50.0	507.0	21.0	355.0	6.0	77.0	8.0	193.0	13.0	317.0	19.0	258.0	248.0	2206.0	9.0	86.0	10.0	141.0	5.0	25.0	1.0	64.0	19.0	208.0	213.0	2187.0	10.0	175.0	29.0	382.0	28.0	333.0	65.0	649.0	9.0	99.0	57.0	879.0	15.0	262.0	21.0	174.0	2.0	11.0	10.0	125.0	0.0	24.0	9.0	179.0	5.0	52.0	5.0	118.0	60.0	550.0	2.0	30.0	19.0	269.0	0.0	20.0	13.0	107.0	all
