Hugo_Symbol	classifier_pathogenic_final	penetrance	Adrenocortical Carcinoma_gene_count	Adrenocortical Carcinoma_tumortype_count	Ampullary Carcinoma_gene_count	Ampullary Carcinoma_tumortype_count	Anal Cancer_gene_count	Anal Cancer_tumortype_count	Appendiceal Adenocarcinoma_gene_count	Appendiceal Adenocarcinoma_tumortype_count	Bladder Cancer_gene_count	Bladder Cancer_tumortype_count	Bone Cancer_gene_count	Bone Cancer_tumortype_count	Cancer of Unknown Primary_gene_count	Cancer of Unknown Primary_tumortype_count	Cervical Cancer_gene_count	Cervical Cancer_tumortype_count	Cholangiocarcinoma_gene_count	Cholangiocarcinoma_tumortype_count	Colorectal Adenocarcinoma_gene_count	Colorectal Adenocarcinoma_tumortype_count	Cutaneous Melanoma_gene_count	Cutaneous Melanoma_tumortype_count	Diffuse Glioma_gene_count	Diffuse Glioma_tumortype_count	Embryonal Tumor_gene_count	Embryonal Tumor_tumortype_count	Endometrial Carcinoma_gene_count	Endometrial Carcinoma_tumortype_count	Esophagogastric Cancer_gene_count	Esophagogastric Cancer_tumortype_count	Gastrointestinal Neuroendocrine Tumors_gene_count	Gastrointestinal Neuroendocrine Tumors_tumortype_count	Gastrointestinal Stromal Tumor_gene_count	Gastrointestinal Stromal Tumor_tumortype_count	Germ Cell Tumor_gene_count	Germ Cell Tumor_tumortype_count	Head and Neck Cancer_gene_count	Head and Neck Cancer_tumortype_count	Invasive Breast Carcinoma_gene_count	Invasive Breast Carcinoma_tumortype_count	Lung Neuroendocrine Tumor_gene_count	Lung Neuroendocrine Tumor_tumortype_count	Mesothelioma_gene_count	Mesothelioma_tumortype_count	Nerve Sheath Tumor_gene_count	Nerve Sheath Tumor_tumortype_count	Non Glioma CNS Cancers_gene_count	Non Glioma CNS Cancers_tumortype_count	Non-Cholangio Hepatobiliary Cancer_gene_count	Non-Cholangio Hepatobiliary Cancer_tumortype_count	Non-Small Cell Lung Cancer_gene_count	Non-Small Cell Lung Cancer_tumortype_count	Non-cutaneous Melanoma_gene_count	Non-cutaneous Melanoma_tumortype_count	Other_gene_count	Other_tumortype_count	Ovarian Cancer_gene_count	Ovarian Cancer_tumortype_count	Pancreatic Adenocarcinoma_gene_count	Pancreatic Adenocarcinoma_tumortype_count	Pancreatic Neuroendocrine Tumor_gene_count	Pancreatic Neuroendocrine Tumor_tumortype_count	Prostate Cancer_gene_count	Prostate Cancer_tumortype_count	Renal Clear Cell Carcinoma_gene_count	Renal Clear Cell Carcinoma_tumortype_count	Renal Non-Clear Cell Carcinoma_gene_count	Renal Non-Clear Cell Carcinoma_tumortype_count	Retinoblastoma_gene_count	Retinoblastoma_tumortype_count	Salivary Carcinoma_gene_count	Salivary Carcinoma_tumortype_count	Sex Cord Stromal Tumor_gene_count	Sex Cord Stromal Tumor_tumortype_count	Skin Cancer, Non-Melanoma_gene_count	Skin Cancer, Non-Melanoma_tumortype_count	Small Bowel Cancer_gene_count	Small Bowel Cancer_tumortype_count	Small Cell Lung Cancer_gene_count	Small Cell Lung Cancer_tumortype_count	Soft Tissue Sarcoma_gene_count	Soft Tissue Sarcoma_tumortype_count	Thymic Tumor_gene_count	Thymic Tumor_tumortype_count	Thyroid Cancer_gene_count	Thyroid Cancer_tumortype_count	Unknown_gene_count	Unknown_tumortype_count	Uterine Sarcoma_gene_count	Uterine Sarcoma_tumortype_count	gene_panel
ABL1	0	NA	4.0	41.0	12.0	47.0	1.0	48.0	18.0	122.0	62.0	548.0	31.0	206.0	57.0	409.0	14.0	79.0	30.0	288.0	176.0	1495.0	40.0	322.0	101.0	836.0	16.0	112.0	77.0	547.0	75.0	429.0	12.0	85.0	36.0	211.0	34.0	367.0	40.0	279.0	361.0	2422.0	10.0	97.0	22.0	172.0	5.0	33.0	16.0	71.0	32.0	236.0	330.0	2463.0	31.0	197.0	76.0	475.0	35.0	384.0	94.0	758.0	19.0	112.0	148.0	1042.0	33.0	272.0	35.0	190.0	0.0	12.0	20.0	149.0	5.0	27.0	21.0	196.0	7.0	59.0	8.0	132.0	92.0	666.0	4.0	44.0	38.0	306.0	3.0	39.0	20.0	127.0	all
AC129492.6	0	NA	0.0	41.0	0.0	47.0	0.0	48.0	0.0	122.0	0.0	548.0	0.0	206.0	0.0	409.0	0.0	79.0	0.0	288.0	4.0	1495.0	0.0	322.0	4.0	836.0	0.0	112.0	1.0	547.0	1.0	429.0	0.0	85.0	0.0	211.0	1.0	367.0	0.0	279.0	3.0	2422.0	0.0	97.0	0.0	172.0	0.0	33.0	0.0	71.0	0.0	236.0	7.0	2463.0	0.0	197.0	0.0	475.0	0.0	384.0	1.0	758.0	0.0	112.0	2.0	1042.0	0.0	272.0	1.0	190.0	0.0	12.0	1.0	149.0	0.0	27.0	0.0	196.0	0.0	59.0	0.0	132.0	0.0	666.0	0.0	44.0	0.0	306.0	0.0	39.0	0.0	127.0	all
AC137932.1	0	NA	0.0	41.0	0.0	47.0	0.0	48.0	0.0	122.0	0.0	548.0	0.0	206.0	0.0	409.0	0.0	79.0	0.0	288.0	0.0	1495.0	0.0	322.0	2.0	836.0	0.0	112.0	0.0	547.0	1.0	429.0	0.0	85.0	0.0	211.0	1.0	367.0	0.0	279.0	0.0	2422.0	0.0	97.0	0.0	172.0	0.0	33.0	0.0	71.0	0.0	236.0	0.0	2463.0	0.0	197.0	2.0	475.0	0.0	384.0	0.0	758.0	0.0	112.0	0.0	1042.0	0.0	272.0	0.0	190.0	0.0	12.0	0.0	149.0	0.0	27.0	0.0	196.0	0.0	59.0	0.0	132.0	0.0	666.0	0.0	44.0	1.0	306.0	0.0	39.0	0.0	127.0	all
AKT1	0	NA	3.0	41.0	7.0	47.0	7.0	48.0	14.0	122.0	39.0	548.0	24.0	206.0	38.0	409.0	7.0	79.0	32.0	288.0	167.0	1495.0	26.0	322.0	80.0	836.0	11.0	112.0	64.0	547.0	55.0	429.0	10.0	85.0	25.0	211.0	33.0	367.0	32.0	279.0	291.0	2422.0	14.0	97.0	15.0	172.0	5.0	33.0	7.0	71.0	19.0	236.0	234.0	2463.0	23.0	197.0	47.0	475.0	25.0	384.0	61.0	758.0	13.0	112.0	111.0	1042.0	26.0	272.0	33.0	190.0	1.0	12.0	18.0	149.0	4.0	27.0	16.0	196.0	6.0	59.0	10.0	132.0	69.0	666.0	1.0	44.0	34.0	306.0	4.0	39.0	18.0	127.0	all
AKT2	0	NA	2.0	41.0	9.0	47.0	9.0	48.0	17.0	122.0	45.0	548.0	17.0	206.0	36.0	409.0	8.0	79.0	25.0	288.0	127.0	1495.0	21.0	322.0	80.0	836.0	10.0	112.0	60.0	547.0	42.0	429.0	10.0	85.0	21.0	211.0	29.0	367.0	26.0	279.0	220.0	2422.0	11.0	97.0	13.0	172.0	3.0	33.0	7.0	71.0	25.0	236.0	234.0	2463.0	8.0	197.0	46.0	475.0	22.0	384.0	72.0	758.0	9.0	112.0	89.0	1042.0	31.0	272.0	21.0	190.0	1.0	12.0	23.0	149.0	2.0	27.0	19.0	196.0	5.0	59.0	11.0	132.0	60.0	666.0	7.0	44.0	28.0	306.0	1.0	39.0	15.0	127.0	all
AKT3	0	NA	0.0	41.0	0.0	47.0	2.0	48.0	0.0	122.0	10.0	548.0	6.0	206.0	6.0	409.0	2.0	79.0	6.0	288.0	31.0	1495.0	5.0	322.0	16.0	836.0	0.0	112.0	11.0	547.0	10.0	429.0	1.0	85.0	6.0	211.0	7.0	367.0	9.0	279.0	44.0	2422.0	0.0	97.0	4.0	172.0	0.0	33.0	1.0	71.0	9.0	236.0	45.0	2463.0	7.0	197.0	9.0	475.0	9.0	384.0	13.0	758.0	3.0	112.0	25.0	1042.0	5.0	272.0	4.0	190.0	1.0	12.0	1.0	149.0	2.0	27.0	2.0	196.0	0.0	59.0	2.0	132.0	15.0	666.0	1.0	44.0	3.0	306.0	0.0	39.0	0.0	127.0	all
ALK	0	NA	13.0	41.0	10.0	47.0	10.0	48.0	22.0	122.0	101.0	548.0	44.0	206.0	67.0	409.0	12.0	79.0	55.0	288.0	323.0	1495.0	60.0	322.0	156.0	836.0	25.0	112.0	112.0	547.0	98.0	429.0	15.0	85.0	58.0	211.0	51.0	367.0	55.0	279.0	558.0	2422.0	14.0	97.0	24.0	172.0	7.0	33.0	17.0	71.0	56.0	236.0	467.0	2463.0	42.0	197.0	92.0	475.0	74.0	384.0	126.0	758.0	20.0	112.0	216.0	1042.0	64.0	272.0	57.0	190.0	2.0	12.0	35.0	149.0	7.0	27.0	43.0	196.0	11.0	59.0	23.0	132.0	129.0	666.0	7.0	44.0	71.0	306.0	10.0	39.0	33.0	127.0	all
ALOX12B	0	NA	2.0	41.0	6.0	47.0	7.0	48.0	16.0	122.0	80.0	548.0	31.0	206.0	54.0	409.0	9.0	79.0	35.0	288.0	211.0	1495.0	31.0	322.0	123.0	836.0	10.0	112.0	78.0	547.0	62.0	429.0	14.0	85.0	29.0	211.0	51.0	367.0	43.0	279.0	387.0	2422.0	16.0	97.0	21.0	172.0	6.0	33.0	11.0	71.0	27.0	236.0	380.0	2463.0	24.0	197.0	68.0	475.0	53.0	384.0	113.0	758.0	13.0	112.0	162.0	1042.0	37.0	272.0	35.0	190.0	0.0	12.0	26.0	149.0	6.0	27.0	21.0	196.0	6.0	59.0	23.0	132.0	103.0	666.0	7.0	44.0	38.0	306.0	2.0	39.0	21.0	127.0	all
ALOX12B	1	Uncertain	0.0	41.0	0.0	47.0	0.0	48.0	0.0	122.0	0.0	548.0	0.0	206.0	0.0	409.0	0.0	79.0	0.0	288.0	1.0	1495.0	1.0	322.0	2.0	836.0	0.0	112.0	0.0	547.0	0.0	429.0	0.0	85.0	0.0	211.0	0.0	367.0	0.0	279.0	1.0	2422.0	0.0	97.0	0.0	172.0	0.0	33.0	0.0	71.0	0.0	236.0	1.0	2463.0	1.0	197.0	0.0	475.0	0.0	384.0	0.0	758.0	0.0	112.0	1.0	1042.0	0.0	272.0	0.0	190.0	0.0	12.0	0.0	149.0	0.0	27.0	0.0	196.0	0.0	59.0	1.0	132.0	0.0	666.0	0.0	44.0	1.0	306.0	0.0	39.0	0.0	127.0	all
AMER1	0	NA	3.0	41.0	1.0	47.0	2.0	48.0	9.0	122.0	43.0	548.0	12.0	206.0	35.0	409.0	10.0	79.0	27.0	288.0	121.0	1495.0	18.0	322.0	59.0	836.0	10.0	112.0	54.0	547.0	24.0	429.0	8.0	85.0	8.0	211.0	15.0	367.0	20.0	279.0	268.0	2422.0	11.0	97.0	11.0	172.0	6.0	33.0	2.0	71.0	19.0	236.0	238.0	2463.0	11.0	197.0	34.0	475.0	36.0	384.0	74.0	758.0	9.0	112.0	67.0	1042.0	15.0	272.0	22.0	190.0	2.0	12.0	12.0	149.0	2.0	27.0	10.0	196.0	5.0	59.0	5.0	132.0	72.0	666.0	3.0	44.0	20.0	306.0	2.0	39.0	17.0	127.0	all
