Hugo_Symbol	penetrance	Proposed_level	num_samples	somatic_driver_rate	pathogenic_germline_rate	percent_biallelic
HIST3H3	Uncertain	Adrenocortical Carcinoma	35	0	0.0286	0
BARD1	Uncertain	Adrenocortical Carcinoma	41	0	0.0244	0
DNMT3B	Uncertain	Adrenocortical Carcinoma	41	0	0.0244	0
EGFL7	Uncertain	Adrenocortical Carcinoma	41	0	0.0244	1
MSH2	High	Adrenocortical Carcinoma	41	0.0732	0.0244	1
MSH6	High	Adrenocortical Carcinoma	41	0.0244	0.0244	1
MUTYH	Low	Adrenocortical Carcinoma	41	0	0.0244	1
PIK3C2G	Uncertain	Adrenocortical Carcinoma	41	0	0.0244	NA
SDHC	High	Adrenocortical Carcinoma	41	0	0.0244	1
NUP93	Uncertain	Ampullary Carcinoma	43	0	0.0233	0
APC	Low,High	Ampullary Carcinoma	47	0.1489	0.0213	0
ATM	Moderate	Ampullary Carcinoma	47	0.0426	0.0638	0.667
BRCA2	High	Ampullary Carcinoma	47	0	0.0851	0.75
FANCA	Uncertain	Ampullary Carcinoma	47	0.0213	0.0213	0
MUTYH	Low	Ampullary Carcinoma	47	0	0.0426	0
RAD50	Uncertain	Ampullary Carcinoma	47	0	0.0213	0
APC	Low,High	Anal Cancer	48	0	0.0417	0
BRCA2	High	Anal Cancer	48	0.0208	0.0208	0
CHEK2	Moderate,Uncertain	Anal Cancer	48	0	0.0208	0
IFNGR1	Uncertain	Anal Cancer	48	0	0.0208	0
MITF	Moderate	Anal Cancer	48	0	0.0208	1
PIK3C2G	Uncertain	Anal Cancer	48	0	0.0417	0
PMS1	Uncertain	Anal Cancer	48	0	0.0208	0
SDHB	High	Anal Cancer	48	0	0.0208	0
TET2	Uncertain	Anal Cancer	48	0	0.0208	0
ATM	Moderate	Appendiceal Adenocarcinoma	122	0.0574	0.0164	NA
BARD1	Uncertain	Appendiceal Adenocarcinoma	122	0	0.0082	0
BRCA2	High	Appendiceal Adenocarcinoma	122	0	0.0082	0
CHEK2	Moderate,Uncertain	Appendiceal Adenocarcinoma	122	0	0.0082	NA
FANCC	Uncertain	Appendiceal Adenocarcinoma	122	0	0.0082	0
MSH2	High	Appendiceal Adenocarcinoma	122	0	0.0082	0
MUTYH	Low	Appendiceal Adenocarcinoma	122	0	0.0164	0.5
SHQ1	Uncertain	Appendiceal Adenocarcinoma	122	0	0.0082	0
HIST1H3A	Uncertain	Bladder Cancer	460	0	0.0022	0
HIST1H3F	Uncertain	Bladder Cancer	460	0	0.0022	0
HIST3H3	Uncertain	Bladder Cancer	460	0	0.0022	0
MST1	Uncertain	Bladder Cancer	460	0	0.0022	0
APC	Low,High	Bladder Cancer	548	0.0255	0.0182	0.5
ATM	Moderate	Bladder Cancer	548	0.1131	0.0036	0
ATR	Uncertain	Bladder Cancer	548	0.0146	0.0036	0
BAP1	High	Bladder Cancer	548	0.0219	0.0018	NA
BARD1	Uncertain	Bladder Cancer	548	0	0.0018	1
BCL2L11	Uncertain	Bladder Cancer	548	0.0055	0.0018	0
BRCA1	High	Bladder Cancer	548	0.0091	0.0109	0.167
BRCA2	High	Bladder Cancer	548	0.0237	0.0164	0.333
BRIP1	Moderate	Bladder Cancer	548	0.0255	0.0018	1
CASP8	Uncertain	Bladder Cancer	548	0.0128	0.0018	1
CHEK2	Moderate,Uncertain	Bladder Cancer	548	0	0.0109	0
CSF1R	Uncertain	Bladder Cancer	548	0	0.0018	0
DIS3	Uncertain	Bladder Cancer	548	0.0018	0.0018	0
ERCC2	Uncertain	Bladder Cancer	548	0.0474	0.0036	0.5
ERCC3	Uncertain	Bladder Cancer	548	0.0036	0.0091	0
FANCA	Uncertain	Bladder Cancer	548	0.0055	0.0018	0
FANCC	Uncertain	Bladder Cancer	548	0.0036	0.0018	0
FH	Uncertain,High	Bladder Cancer	548	0	0.0073	0.333
INPP4A	Uncertain	Bladder Cancer	548	0	0.0018	0
LATS1	Uncertain	Bladder Cancer	548	0.0182	0.0018	0
MLH1	High	Bladder Cancer	548	0.0018	0.0018	1
MRE11A	Uncertain	Bladder Cancer	548	0	0.0018	0
MSH2	High	Bladder Cancer	548	0.0201	0.0109	1
MSH6	High	Bladder Cancer	548	0.0109	0.0036	1
MUTYH	Low	Bladder Cancer	548	0	0.0109	0
NBN	Moderate	Bladder Cancer	548	0	0.0055	0
NOTCH3	Uncertain	Bladder Cancer	548	0	0.0018	1
PALB2	High	Bladder Cancer	548	0	0.0018	NA
PARK2	Uncertain	Bladder Cancer	548	0	0.0018	0
PIK3C2G	Uncertain	Bladder Cancer	548	0	0.0036	0.5
PLK2	Uncertain	Bladder Cancer	548	0	0.0018	NA
PMS1	Uncertain	Bladder Cancer	548	0	0.0018	1
RAD50	Uncertain	Bladder Cancer	548	0.0055	0.0055	0
RECQL4	Uncertain	Bladder Cancer	548	0	0.0036	0
SDHA	High	Bladder Cancer	548	0	0.0018	1
TET2	Uncertain	Bladder Cancer	548	0.0109	0.0036	0.5
TP53	High	Bladder Cancer	548	0.4325	0.0018	0
APC	Low,High	Bone Cancer	206	0	0.0049	0
BARD1	Uncertain	Bone Cancer	206	0	0.0049	0
BRCA1	High	Bone Cancer	206	0.0049	0.0097	0
BRCA2	High	Bone Cancer	206	0.0049	0.0049	0
BRIP1	Moderate	Bone Cancer	206	0	0.0049	0
CHEK2	Moderate,Uncertain	Bone Cancer	206	0	0.0146	0
DIS3	Uncertain	Bone Cancer	206	0	0.0049	0
ERCC2	Uncertain	Bone Cancer	206	0	0.0049	0
ERCC3	Uncertain	Bone Cancer	206	0	0.0146	0
ERCC4	Uncertain	Bone Cancer	206	0	0.0049	0
FANCC	Uncertain	Bone Cancer	206	0	0.0049	1
FH	Uncertain,High	Bone Cancer	206	0	0.0049	0
LATS2	Uncertain	Bone Cancer	206	0.0049	0.0049	1
MLH1	High	Bone Cancer	206	0	0.0097	1
MRE11A	Uncertain	Bone Cancer	206	0	0.0049	0
MSH2	High	Bone Cancer	206	0	0.0049	1
MUTYH	Low	Bone Cancer	206	0	0.0097	0
PIK3C2G	Uncertain	Bone Cancer	206	0	0.0146	0
RB1	High	Bone Cancer	206	0.0291	0.0146	1
RECQL4	Uncertain	Bone Cancer	206	0	0.0049	0
SHQ1	Uncertain	Bone Cancer	206	0	0.0097	0
SPOP	Uncertain	Bone Cancer	206	0	0.0049	1
STAG2	Uncertain	Bone Cancer	206	0.0291	0.0049	NA
SUZ12	Uncertain	Bone Cancer	206	0	0.0049	1
TP53	High	Bone Cancer	206	0.165	0.0097	1
TSHR	Uncertain	Bone Cancer	206	0	0.0049	0
VHL	High,Uncertain	Bone Cancer	206	0	0.0097	0.5
MST1	Uncertain	Cancer of Unknown Primary	368	0	0.0027	1
TCF7L2	Uncertain	Cancer of Unknown Primary	368	0.0054	0.0027	0
APC	Low,High	Cancer of Unknown Primary	409	0.0416	0.0171	0.4
ASXL2	Uncertain	Cancer of Unknown Primary	409	0.0073	0.0024	1
ATM	Moderate	Cancer of Unknown Primary	409	0.088	0.0098	0.333
BBC3	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
BLM	Uncertain	Cancer of Unknown Primary	409	0	0.0049	0
BRCA1	High	Cancer of Unknown Primary	409	0.0049	0.0073	1
BRCA2	High	Cancer of Unknown Primary	409	0.0049	0.0171	0.714
BRIP1	Moderate	Cancer of Unknown Primary	409	0.0391	0.0049	0
CDKN1A	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
CHEK2	Moderate,Uncertain	Cancer of Unknown Primary	409	0	0.0293	0.333
CIC	Uncertain	Cancer of Unknown Primary	409	0.0049	0.0024	0
EPCAM	Uncertain	Cancer of Unknown Primary	409	0	0.0024	NA
ERCC2	Uncertain	Cancer of Unknown Primary	409	0	0.0049	0
ERCC3	Uncertain	Cancer of Unknown Primary	409	0	0.0049	1
FANCA	Uncertain	Cancer of Unknown Primary	409	0	0.0024	NA
FANCC	Uncertain	Cancer of Unknown Primary	409	0	0.0024	1
JAK3	Uncertain	Cancer of Unknown Primary	409	0	0.0024	0
