Hugo_Symbol	penetrance	num_samples	somatic_driver_rate	pathogenic_germline_rate	percent_biallelic
ABL1	NA	17152	0	0	0
ACVR1	NA	14752	0.001	0	0
AKT1	NA	17152	0.012	0	0
AKT2	NA	17152	0.001	0	0
AKT3	NA	17152	0	0	0
ALK	NA	17152	0.002	0	0
ALOX12B	Uncertain	17152	0	6e-04	0.5
AMER1	Uncertain	17152	0	1e-04	0
ANKRD11	NA	14752	0	0	0
APC	Low,High	17152	0.078	0.0176	0.295
AR	NA	17152	0.002	0	0
ARAF	NA	17152	0.001	0	0
ARID1A	Uncertain	17152	0.065	1e-04	NA
ARID1B	Uncertain	17152	0.009	1e-04	0
ARID2	Uncertain	17152	0.017	2e-04	0
ARID5B	Uncertain	17152	0.005	1e-04	0
ASXL1	Uncertain	17152	0.008	2e-04	0
ASXL2	Uncertain	17152	0.005	1e-04	0.5
ATM	Moderate	17152	0.062	0.0071	0.655
ATR	Uncertain	17152	0.006	9e-04	0.214
ATRX	NA	17152	0.022	0	0
AURKA	NA	17152	0	0	0
AURKB	NA	17152	0	0	0
AXIN1	Uncertain	17152	0.004	2e-04	0
AXIN2	Uncertain	17152	0.004	1e-04	0
AXL	NA	17152	0	0	0
B2M	NA	17152	0.008	0	0
BAP1	High	17152	0.014	0.0014	0.85
BARD1	Uncertain	17152	0.002	0.0012	0.5
BBC3	Uncertain	17152	0	2e-04	0
BCL10	Uncertain	14752	0.001	1e-04	1
BCL2	NA	17152	0	0	0
BCL2L1	NA	17152	0	0	0
BCL2L11	Uncertain	17152	0.001	1e-04	0
BCL6	NA	17152	0.001	0	0
BCOR	NA	17152	0.013	0	0
BIRC3	NA	14752	0	0	0
BLM	Uncertain	17152	0	0.0022	0.147
BMPR1A	High	17152	0	1e-04	0
BRAF	NA	17152	0.04	0	0
BRCA1	High	17152	0.006	0.0097	0.652
BRCA2	High	17152	0.014	0.0166	0.652
BRD4	NA	17152	0	0	0
BRIP1	Moderate	17152	0.021	0.002	0.233
BTK	NA	17152	0	0	0
CALR	NA	14752	0	0	0
CARD11	NA	17152	0.001	0	0
CASP8	Uncertain	17152	0.006	9e-04	0.462
CBFB	NA	17152	0	0	0
CBL	Uncertain	17152	0.004	2e-04	0
CCND1	NA	17152	0.003	0	0
CCND2	NA	17152	0	0	0
CCND3	NA	17152	0	0	0
CCNE1	NA	17152	0	0	0
CD274	Uncertain	17152	0	1e-04	0
CD276	NA	17152	0	0	0
CD79A	NA	14752	0	0	0
CD79B	NA	17152	0	0	0
CDC73	Uncertain	17152	0	1e-04	0
CDH1	High	17152	0.024	6e-04	0.444
CDK12	NA	17152	0.008	0	0
CDK4	NA	17152	0.001	0	0
CDK6	NA	17152	0	0	0
CDK8	NA	17152	0	0	0
CDKN1A	Uncertain	17152	0.005	1e-04	0
CDKN1B	NA	17152	0.006	0	0
CDKN2B	NA	17152	0	0	0
CDKN2C	NA	17152	0.001	0	0
CEBPA	NA	14752	0	0	0
CENPA	NA	14752	0	0	0
CHEK1	Uncertain	17152	0	2e-04	0
CHEK2	Moderate,Uncertain	17152	0	0.017	0.375
CIC	Uncertain	17152	0.012	2e-04	0.333
CREBBP	Uncertain	17152	0.015	1e-04	0
CRKL	NA	17152	0	0	0
CRLF2	NA	17152	0	0	0
CSF1R	Uncertain	17152	0	1e-04	0
CSF3R	NA	14752	0	0	0
CTCF	Uncertain	17152	0.01	1e-04	0.5
CTLA4	NA	17152	0	0	0
CTNNB1	NA	17152	0.023	0	0
